# arrival_rate,reject_ratio,utilization,missed_deadline_rate
2.000000000000000000e+01,3.658333333333333437e-01,7.066686733236958728e-01,0.000000000000000000e+00
6.666666666666666075e+00,3.844000000000000195e-01,7.186847766462807208e-01,0.000000000000000000e+00
3.999999999999999112e+00,3.900666666666666726e-01,7.105505420412739914e-01,0.000000000000000000e+00
2.857142857142856762e+00,4.047666666666666635e-01,6.995832394183064684e-01,0.000000000000000000e+00
2.222222222222221877e+00,4.076666666666666772e-01,7.021883646764280895e-01,0.000000000000000000e+00
1.818181818181817677e+00,4.151666666666666838e-01,6.968381560645172668e-01,0.000000000000000000e+00
1.538461538461538103e+00,4.176333333333333564e-01,6.978899347407733211e-01,0.000000000000000000e+00
1.333333333333333037e+00,4.307666666666666866e-01,6.910051682344852120e-01,0.000000000000000000e+00
1.176470588235293935e+00,4.329666666666666663e-01,6.849060545313346848e-01,0.000000000000000000e+00
1.052631578947368141e+00,4.440999999999999948e-01,6.891349797922231568e-01,0.000000000000000000e+00
9.523809523809521060e-01,4.469666666666666788e-01,6.861364492595969367e-01,0.000000000000000000e+00
8.695652173913041016e-01,4.524666666666666837e-01,6.740995128258603364e-01,0.000000000000000000e+00
7.999999999999998224e-01,4.534000000000000252e-01,6.788514745212055335e-01,0.000000000000000000e+00
7.407407407407405886e-01,4.627000000000000002e-01,6.813706494379484502e-01,0.000000000000000000e+00
6.896551724137929273e-01,4.697333333333333361e-01,6.660383479145122188e-01,0.000000000000000000e+00
6.451612903225805162e-01,4.706666666666666776e-01,6.740664750935859706e-01,0.000000000000000000e+00
